sex,citizen,geo,year,Number per 1000 people
Females,EU27 countries (from 2020) except reporting country,Italy,2022,366.2
Females,EU27 countries (from 2020) except reporting country,Italy,2023,361.7
Females,EU27 countries (from 2020) except reporting country,Lithuania,2022,1.3
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2014,49.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2015,52.3
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2016,53.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2017,58.1
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2018,62.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2019,60.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2020,59.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2021,61.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2022,63.9
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2023,64.9
Females,EU27 countries (from 2020) except reporting country,Malta,2014,1.1
Females,EU27 countries (from 2020) except reporting country,Malta,2015,1.7
Females,EU27 countries (from 2020) except reporting country,Malta,2016,1.6
Females,EU27 countries (from 2020) except reporting country,Malta,2017,5.3
Females,EU27 countries (from 2020) except reporting country,Malta,2018,6.7
Females,EU27 countries (from 2020) except reporting country,Malta,2019,10.0
Females,EU27 countries (from 2020) except reporting country,Malta,2020,10.4
Females,EU27 countries (from 2020) except reporting country,Malta,2021,11.8
Females,EU27 countries (from 2020) except reporting country,Malta,2022,13.2
Females,EU27 countries (from 2020) except reporting country,Malta,2023,13.8
Females,EU27 countries (from 2020) except reporting country,Netherlands,2014,83.7
Females,EU27 countries (from 2020) except reporting country,Netherlands,2015,86.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2016,93.1
Females,EU27 countries (from 2020) except reporting country,Netherlands,2017,107.9
Females,EU27 countries (from 2020) except reporting country,Netherlands,2018,104.4
Females,EU27 countries (from 2020) except reporting country,Netherlands,2019,116.1
Females,EU27 countries (from 2020) except reporting country,Netherlands,2020,117.7
Females,EU27 countries (from 2020) except reporting country,Netherlands,2021,136.1
Females,EU27 countries (from 2020) except reporting country,Netherlands,2022,155.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2023,175.4
Females,EU27 countries (from 2020) except reporting country,Norway,2014,54.0
Females,EU27 countries (from 2020) except reporting country,Norway,2015,63.4
Females,EU27 countries (from 2020) except reporting country,Norway,2016,62.7
Females,EU27 countries (from 2020) except reporting country,Norway,2017,60.2
Females,EU27 countries (from 2020) except reporting country,Norway,2018,85.4
Females,EU27 countries (from 2020) except reporting country,Norway,2019,91.7
Females,EU27 countries (from 2020) except reporting country,Norway,2020,94.7
Females,EU27 countries (from 2020) except reporting country,Norway,2021,87.8
Females,EU27 countries (from 2020) except reporting country,Norway,2022,87.2
Females,EU27 countries (from 2020) except reporting country,Norway,2023,84.7
Females,EU27 countries (from 2020) except reporting country,Poland,2017,5.9
Females,EU27 countries (from 2020) except reporting country,Portugal,2014,10.7
Females,EU27 countries (from 2020) except reporting country,Portugal,2015,13.6
Females,EU27 countries (from 2020) except reporting country,Portugal,2016,13.1
Females,EU27 countries (from 2020) except reporting country,Portugal,2017,14.0
Females,EU27 countries (from 2020) except reporting country,Portugal,2018,16.7
Females,EU27 countries (from 2020) except reporting country,Portugal,2019,14.8
Females,EU27 countries (from 2020) except reporting country,Portugal,2020,13.9
Females,EU27 countries (from 2020) except reporting country,Portugal,2021,14.1
Females,EU27 countries (from 2020) except reporting country,Portugal,2022,12.3
Females,EU27 countries (from 2020) except reporting country,Portugal,2023,11.7
Females,EU27 countries (from 2020) except reporting country,Serbia,2014,1.3
Females,EU27 countries (from 2020) except reporting country,Serbia,2017,1.1
Females,EU27 countries (from 2020) except reporting country,Serbia,2018,1.5
Females,EU27 countries (from 2020) except reporting country,Serbia,2021,1.0
Females,EU27 countries (from 2020) except reporting country,Sweden,2014,61.3
Females,EU27 countries (from 2020) except reporting country,Sweden,2015,58.2
Females,EU27 countries (from 2020) except reporting country,Sweden,2016,57.7
Females,EU27 countries (from 2020) except reporting country,Sweden,2017,60.8
Females,EU27 countries (from 2020) except reporting country,Sweden,2018,62.7
Females,EU27 countries (from 2020) except reporting country,Sweden,2019,61.9
Females,EU27 countries (from 2020) except reporting country,Sweden,2020,71.4
Females,EU27 countries (from 2020) except reporting country,Sweden,2021,72.3
Females,EU27 countries (from 2020) except reporting country,Sweden,2022,67.6
Females,EU27 countries (from 2020) except reporting country,Sweden,2023,68.4
Females,EU27 countries (from 2020) except reporting country,Slovenia,2014,1.5
Females,EU27 countries (from 2020) except reporting country,Slovenia,2015,1.9
Females,EU27 countries (from 2020) except reporting country,Slovenia,2016,2.3
Females,EU27 countries (from 2020) except reporting country,Slovenia,2017,2.6
Females,EU27 countries (from 2020) except reporting country,Slovenia,2018,3.0
Females,EU27 countries (from 2020) except reporting country,Slovenia,2019,2.8
Females,EU27 countries (from 2020) except reporting country,Slovenia,2020,2.5
Females,EU27 countries (from 2020) except reporting country,Slovenia,2021,2.8
Females,EU27 countries (from 2020) except reporting country,Slovenia,2022,3.5
Females,EU27 countries (from 2020) except reporting country,Slovenia,2023,2.9
Females,EU27 countries (from 2020) except reporting country,Slovakia,2017,2.5
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2014,831.4
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2015,963.1
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2016,1027.1
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2017,1083.8
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2018,1070.4
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2019,1112.9
Females,Foreign country,Austria,2014,244.8
Females,Foreign country,Austria,2015,253.2
Females,Foreign country,Austria,2016,282.5
Females,Foreign country,Austria,2017,293.7
Females,Foreign country,Austria,2018,311.2
Females,Foreign country,Austria,2019,321.0
Females,Foreign country,Austria,2020,329.8
Females,Foreign country,Austria,2021,331.7
Females,Foreign country,Austria,2022,382.1
Females,Foreign country,Austria,2023,403.1
Females,Foreign country,Bosnia and Herzegovina,2021,1.4
Females,Foreign country,Bosnia and Herzegovina,2022,0.7
Females,Foreign country,Belgium,2014,186.9
Females,Foreign country,Belgium,2015,204.0
Females,Foreign country,Belgium,2016,200.7
Females,Foreign country,Belgium,2017,211.9
Females,Foreign country,Belgium,2018,214.6
Females,Foreign country,Belgium,2019,225.0
Females,Foreign country,Belgium,2020,218.8
Females,Foreign country,Belgium,2021,234.2
Females,Foreign country,Belgium,2022,269.7
Females,Foreign country,Belgium,2023,275.9
Females,Foreign country,Switzerland,2014,447.4
Females,Foreign country,Switzerland,2015,464.8
Females,Foreign country,Switzerland,2016,484.9
Females,Foreign country,Switzerland,2017,484.4
Females,Foreign country,Switzerland,2018,500.3
Females,Foreign country,Switzerland,2019,517.1
Females,Foreign country,Switzerland,2020,523.9
Females,Foreign country,Switzerland,2021,523.2
Females,Foreign country,Switzerland,2022,537.1
Females,Foreign country,Switzerland,2023,566.5
Females,Foreign country,Cyprus,2014,42.1
Females,Foreign country,Cyprus,2015,40.3
Females,Foreign country,Cyprus,2016,37.6
Females,Foreign country,Cyprus,2017,38.6
Females,Foreign country,Cyprus,2018,39.2
Females,Foreign country,Cyprus,2019,46.7
Females,Foreign country,Cyprus,2020,48.3
Females,Foreign country,Cyprus,2021,49.2
Females,Foreign country,Cyprus,2022,52.4
Females,Foreign country,Cyprus,2023,60.5
Females,Foreign country,Czechia,2014,38.6
Females,Foreign country,Czechia,2015,42.5
Females,Foreign country,Czechia,2016,40.8
Females,Foreign country,Czechia,2017,52.1
Females,Foreign country,Czechia,2018,52.1
Females,Foreign country,Czechia,2019,57.1
Females,Foreign country,Czechia,2020,62.7
Females,Foreign country,Czechia,2021,64.9
Females,Foreign country,Czechia,2022,66.2
Females,Foreign country,Czechia,2023,95.4
Females,Foreign country,Germany,2014,1515.3
Females,Foreign country,Germany,2015,1602.2
Females,Foreign country,Germany,2016,1754.3
Females,Foreign country,Germany,2017,1856.4
Females,Foreign country,Germany,2018,1995.3
Females,Foreign country,Germany,2019,2099.0
Females,Foreign country,Germany,2020,2022.2
Females,Foreign country,Germany,2021,2057.3
Females,Foreign country,Germany,2022,2360.9
Females,Foreign country,Germany,2023,2527.2
Females,Foreign country,Denmark,2014,76.5
Females,Foreign country,Denmark,2015,81.1
Females,Foreign country,Denmark,2016,76.5
Females,Foreign country,Denmark,2017,79.8
Females,Foreign country,Denmark,2018,82.0
Females,Foreign country,Denmark,2019,83.4
Females,Foreign country,Denmark,2020,87.4
Females,Foreign country,Denmark,2021,91.0
Females,Foreign country,Denmark,2022,92.3
Females,Foreign country,Denmark,2023,93.7
Females,Foreign country,Estonia,2014,33.4
Females,Foreign country,Estonia,2015,33.2
Females,Foreign country,Estonia,2016,34.3
Females,Foreign country,Estonia,2017,33.3
Females,Foreign country,Estonia,2018,32.6
Females,Foreign country,Estonia,2019,36.0
Females,Foreign country,Estonia,2020,35.2
Females,Foreign country,Estonia,2021,34.5
Females,Foreign country,Estonia,2022,32.8
Females,Foreign country,Estonia,2023,40.7
Females,Foreign country,Greece,2014,111.6
Females,Foreign country,Greece,2015,104.1
Females,Foreign country,Greece,2016,88.4
Females,Foreign country,Greece,2017,85.0
Females,Foreign country,Greece,2018,80.9
Females,Foreign country,Greece,2019,90.0
Females,Foreign country,Greece,2020,76.6
Females,Foreign country,Greece,2021,63.5
Females,Foreign country,Greece,2022,57.2
Females,Foreign country,Greece,2023,64.0
Females,Foreign country,Spain,2014,889.3
Females,Foreign country,Spain,2015,904.0
Females,Foreign country,Spain,2016,913.9
Females,Foreign country,Spain,2017,965.3
Females,Foreign country,Spain,2018,1018.7
Females,Foreign country,Spain,2019,1087.1
Females,Foreign country,Spain,2020,1050.4
Females,Foreign country,Spain,2021,1094.5
Females,Foreign country,Spain,2022,1200.9
Females,Foreign country,Spain,2023,1397.2
Females,Foreign country,Finland,2014,28.1
Females,Foreign country,Finland,2015,31.4
Females,Foreign country,Finland,2016,30.9
Females,Foreign country,Finland,2017,30.5
Females,Foreign country,Finland,2018,32.2
Females,Foreign country,Finland,2019,35.6
Females,Foreign country,Finland,2020,36.0
Females,Foreign country,Finland,2021,49.0
Females,Foreign country,Finland,2022,63.4
Females,Foreign country,Finland,2023,69.1
Females,Foreign country,France,2014,631.5
Females,Foreign country,France,2015,625.4
Females,Foreign country,France,2016,634.7
Females,Foreign country,France,2017,686.0
Females,Foreign country,France,2018,711.4
Females,Foreign country,France,2019,726.8
Females,Foreign country,France,2020,720.6
Females,Foreign country,France,2021,782.7
Females,Foreign country,France,2022,856.9
Females,Foreign country,France,2023,953.7
Females,Foreign country,Croatia,2014,1.3
Females,Foreign country,Croatia,2015,1.5
Females,Foreign country,Croatia,2016,1.1
Females,Foreign country,Croatia,2017,1.2
Females,Foreign country,Croatia,2018,3.5
Females,Foreign country,Croatia,2019,3.3
Females,Foreign country,Croatia,2020,1.8
Females,Foreign country,Croatia,2021,1.9
Females,Foreign country,Croatia,2022,3.9
Females,Foreign country,Croatia,2023,4.3
Females,Foreign country,Hungary,2014,9.7
Females,Foreign country,Hungary,2015,8.9
Females,Foreign country,Hungary,2016,9.9
Females,Foreign country,Hungary,2017,8.2
Females,Foreign country,Hungary,2018,9.3
Females,Foreign country,Hungary,2019,14.0
Females,Foreign country,Hungary,2020,11.0
Females,Foreign country,Hungary,2021,16.6
Females,Foreign country,Hungary,2022,17.6
Females,Foreign country,Hungary,2023,15.0
Females,Foreign country,Ireland,2014,123.5
Females,Foreign country,Ireland,2015,127.5
Females,Foreign country,Ireland,2016,138.0
Females,Foreign country,Ireland,2017,148.2
Females,Foreign country,Ireland,2018,159.5
Females,Foreign country,Ireland,2019,168.2
Females,Foreign country,Ireland,2020,166.2
Females,Foreign country,Ireland,2021,181.9
Females,Foreign country,Ireland,2022,210.4
Females,Foreign country,Ireland,2023,240.5
Females,Foreign country,Iceland,2014,4.5
Females,Foreign country,Iceland,2015,3.6
Females,Foreign country,Iceland,2016,4.1
Females,Foreign country,Iceland,2017,4.1
Females,Foreign country,Iceland,2018,4.4
Females,Foreign country,Iceland,2019,4.9
Females,Foreign country,Iceland,2020,5.3
Females,Foreign country,Iceland,2021,7.4
Females,Foreign country,Iceland,2022,10.0
Females,Foreign country,Iceland,2023,11.4
Females,Foreign country,Italy,2014,1045.2
Females,Foreign country,Italy,2015,1055.0
Females,Foreign country,Italy,2016,1060.0
Females,Foreign country,Italy,2017,1054.9
Females,Foreign country,Italy,2018,1013.5
Females,Foreign country,Italy,2019,1008.5
Females,Foreign country,Italy,2020,902.5
Females,Foreign country,Italy,2021,914.1
Females,Foreign country,Italy,2022,956.6
Females,Foreign country,Italy,2023,956.0
Females,Foreign country,Lithuania,2014,3.0
Females,Foreign country,Lithuania,2015,3.6
Females,Foreign country,Lithuania,2016,2.6
Females,Foreign country,Lithuania,2017,3.1
Females,Foreign country,Lithuania,2018,4.1
Females,Foreign country,Lithuania,2019,5.6
Females,Foreign country,Lithuania,2020,5.4
Females,Foreign country,Lithuania,2021,5.1
Females,Foreign country,Lithuania,2022,9.1
Females,Foreign country,Lithuania,2023,10.1
Females,Foreign country,Luxembourg,2014,54.4
Females,Foreign country,Luxembourg,2015,57.3
Females,Foreign country,Luxembourg,2016,59.6
Females,Foreign country,Luxembourg,2017,65.3
Females,Foreign country,Luxembourg,2018,68.8
Females,Foreign country,Luxembourg,2019,68.3
Females,Foreign country,Luxembourg,2020,68.4
Females,Foreign country,Luxembourg,2021,72.3
Females,Foreign country,Luxembourg,2022,75.5
Females,Foreign country,Luxembourg,2023,78.2
Females,Foreign country,Latvia,2014,50.8
Females,Foreign country,Latvia,2015,49.6
Females,Foreign country,Latvia,2016,49.1
Females,Foreign country,Latvia,2017,45.0
Females,Foreign country,Latvia,2018,43.9
Females,Foreign country,Latvia,2019,44.7
Females,Foreign country,Latvia,2020,43.6
Females,Foreign country,Latvia,2021,36.9
Females,Foreign country,Latvia,2022,35.7
Females,Foreign country,Latvia,2023,37.8
Females,Foreign country,Montenegro,2014,2.8
Females,Foreign country,Montenegro,2015,3.7
Females,Foreign country,Montenegro,2016,2.9
Females,Foreign country,Montenegro,2017,3.6
Females,Foreign country,Montenegro,2018,4.8
Females,Foreign country,Montenegro,2019,4.5
Females,Foreign country,Montenegro,2020,2.9
Females,Foreign country,North Macedonia,2014,0.5
Females,Foreign country,North Macedonia,2019,0.6
Females,Foreign country,Malta,2014,4.2
Females,Foreign country,Malta,2015,5.9
Females,Foreign country,Malta,2016,5.8
Females,Foreign country,Malta,2017,14.8
Females,Foreign country,Malta,2018,23.4
Females,Foreign country,Malta,2019,26.7
Females,Foreign country,Malta,2020,29.9
Females,Foreign country,Malta,2021,31.3
Females,Foreign country,Malta,2022,37.3
Females,Foreign country,Malta,2023,40.4
Females,Foreign country,Netherlands,2014,147.5
Females,Foreign country,Netherlands,2015,154.0
Females,Foreign country,Netherlands,2016,161.6
Females,Foreign country,Netherlands,2017,181.1
Females,Foreign country,Netherlands,2018,190.6
Females,Foreign country,Netherlands,2019,211.3
Females,Foreign country,Netherlands,2020,214.5
Females,Foreign country,Netherlands,2021,221.6
Females,Foreign country,Netherlands,2022,244.6
Females,Foreign country,Netherlands,2023,274.7
Females,Foreign country,Norway,2014,87.1
Females,Foreign country,Norway,2015,100.0
Females,Foreign country,Norway,2016,98.5
Females,Foreign country,Norway,2017,97.3
Females,Foreign country,Norway,2018,129.4
Females,Foreign country,Norway,2019,139.8
Females,Foreign country,Norway,2020,139.6
Females,Foreign country,Norway,2021,131.1
Females,Foreign country,Norway,2022,133.4
Females,Foreign country,Norway,2023,137.8
Females,Foreign country,Poland,2014,12.4
Females,Foreign country,Poland,2015,15.6
Females,Foreign country,Poland,2016,18.7
Females,Foreign country,Poland,2017,32.0
Females,Foreign country,Poland,2018,37.6
Females,Foreign country,Poland,2019,43.1
Females,Foreign country,Poland,2020,41.9
Females,Foreign country,Poland,2021,35.8
Females,Foreign country,Poland,2022,51.0
Females,Foreign country,Poland,2023,111.0
Females,Foreign country,Portugal,2014,58.8
Females,Foreign country,Portugal,2015,56.2
Females,Foreign country,Portugal,2016,58.0
Females,Foreign country,Portugal,2017,58.9
Females,Foreign country,Portugal,2018,64.5
Females,Foreign country,Portugal,2019,78.1
Females,Foreign country,Portugal,2020,76.5
Females,Foreign country,Portugal,2021,42.2
Females,Foreign country,Portugal,2022,66.3
Females,Foreign country,Portugal,2023,130.7
Females,Foreign country,Serbia,2014,4.6
Females,Foreign country,Serbia,2015,2.7
Females,Foreign country,Serbia,2016,2.1
Females,Foreign country,Serbia,2017,3.0
Females,Foreign country,Serbia,2018,3.6
Females,Foreign country,Serbia,2019,2.4
Females,Foreign country,Serbia,2020,1.8
Females,Foreign country,Serbia,2021,2.3
Females,Foreign country,Serbia,2022,1.9
Females,Foreign country,Serbia,2023,3.2
Females,Foreign country,Sweden,2014,116.8
Females,Foreign country,Sweden,2015,116.7
Females,Foreign country,Sweden,2016,122.5
Females,Foreign country,Sweden,2017,130.5
Females,Foreign country,Sweden,2018,139.8
Females,Foreign country,Sweden,2019,145.4
Females,Foreign country,Sweden,2020,148.9
Females,Foreign country,Sweden,2021,147.3
Females,Foreign country,Sweden,2022,152.0
Females,Foreign country,Sweden,2023,158.4
Females,Foreign country,Slovenia,2014,6.4
Females,Foreign country,Slovenia,2015,9.1
Females,Foreign country,Slovenia,2016,11.3
Females,Foreign country,Slovenia,2017,14.8
